name,oid,kind,type,range,access,defval,syntax,parent_table
"profilesPMPP","1.3.6.1.4.1.1206.4.1.2.3",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxGroupAddresses","1.3.6.1.4.1.1206.4.1.2.3.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"hdlcGroupAddressTable","1.3.6.1.4.1.1206.4.1.2.3.2",table,"TABLE","SEQUENCE OF HdlcGroupAddressEntry","not-accessible","","SEQUENCE OF HdlcGroupAddressEntry",""
"hdlcGroupAddressIndex","1.3.6.1.4.1.1206.4.1.2.3.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","hdlcGroupAddressTable"
"hdlcGroupAddressNumber","1.3.6.1.4.1.1206.4.1.2.3.2.1.3",column,"INTEGER","0 .. 62","read-write","0","INTEGER (0..62)","hdlcGroupAddressTable"
"hdlcGroupAddressEntry","1.3.6.1.4.1.1206.4.1.2.3.2.1",entry,"ROW ENTRY","INDEX { hdlcGroupAddressIndex }","not-accessible","","HdlcGroupAddressEntry",""
"globalConfiguration","1.3.6.1.4.1.1206.4.2.6.1",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"globalSetIDParameter","1.3.6.1.4.1.1206.4.2.6.1.1",scalar,"INTEGER","0 .. 65535","read-only","","INTEGER (0..65535)",""
"globalMaxModules","1.3.6.1.4.1.1206.4.2.6.1.2",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"globalModuleTable","1.3.6.1.4.1.1206.4.2.6.1.3",table,"TABLE","SEQUENCE OF ModuleTableEntry","not-accessible","","SEQUENCE OF ModuleTableEntry",""
"moduleNumber","1.3.6.1.4.1.1206.4.2.6.1.3.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","globalModuleTable"
"moduleDeviceNode","1.3.6.1.4.1.1206.4.2.6.1.3.1.2",column,"OBJECT IDENTIFIER","(any valid OID)","read-only","","OBJECT IDENTIFIER","globalModuleTable"
"moduleMake","1.3.6.1.4.1.1206.4.2.6.1.3.1.3",column,"OCTET STRING","length 0 .. 65535 bytes","read-only","","OCTET STRING","globalModuleTable"
"moduleModel","1.3.6.1.4.1.1206.4.2.6.1.3.1.4",column,"OCTET STRING","length 0 .. 65535 bytes","read-only","","OCTET STRING","globalModuleTable"
"moduleVersion","1.3.6.1.4.1.1206.4.2.6.1.3.1.5",column,"OCTET STRING","length 0 .. 65535 bytes","read-only","","OCTET STRING","globalModuleTable"
"moduleType","1.3.6.1.4.1.1206.4.2.6.1.3.1.6",column,"INTEGER (enum)","1 .. 3  (other=1, hardware=2, software=3)","read-only","","INTEGER { other (1), hardware (2), software (3) }","globalModuleTable"
"moduleTableEntry","1.3.6.1.4.1.1206.4.2.6.1.3.1",entry,"ROW ENTRY","INDEX { moduleNumber }","not-accessible","","ModuleTableEntry",""
"controllerBaseStandards","1.3.6.1.4.1.1206.4.2.6.1.4",scalar,"OCTET STRING","length 0 .. 256 bytes","read-only","","OCTET STRING (SIZE (0..256))",""
"globalDBManagement","1.3.6.1.4.1.1206.4.2.6.2",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"dbCreateTransaction","1.3.6.1.4.1.1206.4.2.6.2.1",scalar,"INTEGER (enum)","1 .. 6  (normal=1, transaction=2, verify=3, done=6)","read-write","normal","INTEGER { normal (1), transaction (2), verify (3), done (6) }",""
"dbVerifyStatus","1.3.6.1.4.1.1206.4.2.6.2.6",scalar,"INTEGER (enum)","1 .. 3  (notDone=1, doneWithError=2, doneWithNoError=3)","read-only","","INTEGER { notDone (1), doneWithError (2), doneWithNoError  (3) }",""
"dbVerifyError","1.3.6.1.4.1.1206.4.2.6.2.7",scalar,"OCTET STRING","length 0 .. 255 bytes","read-only","","OCTET STRING (SIZE (0..255))",""
"globalTimeManagement","1.3.6.1.4.1.1206.4.2.6.3",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"globalTime","1.3.6.1.4.1.1206.4.2.6.3.1",scalar,"Counter32","0 .. 4294967295","read-write","0","Counter",""
"globalDaylightSaving","1.3.6.1.4.1.1206.4.2.6.3.2",scalar,"INTEGER (enum)","1 .. 19  (other=1, disableDST=2, enableUSDST=3, enableEuropeDST=4, enableAustraliaDST=5, enableTasmaniaDST=6, enableEgyptDST=7, enableNamibiaDST=8, enableIraqDST=9, enableMangoliaDST=10, enableIranDST=11, enableFijiDST=12, enableNewZealandDST=13, enableTongaDST=14, enableCubaDST=15, enableBrazilDST=16, enableChileDST=17, enableFalklandsDST=18, enableParaguayDST=19)","read-write","disableDST","INTEGER {                 other (1), disableDST (2), enableUSDST (3), enableEuropeDST (4), enableAustraliaDST (5), enableTasmaniaDST (6), enableEgyptDST (7), enableNamibiaDST (8), enableIraqDST (9), enableMangoliaDST (10), enableIranDST (11), enableFijiDST (12), enableNewZealandDST (13), enableTongaDST (14), enableCubaDST (15), enableBrazilDST (16), enableChileDST (17), enableFalklandsDST (18), enableParaguayDST (19) }",""
"timebase","1.3.6.1.4.1.1206.4.2.6.3.3",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxTimeBaseScheduleEntries","1.3.6.1.4.1.1206.4.2.6.3.3.1",scalar,"INTEGER","1 .. 65535","read-only","","INTEGER (1..65535)",""
"timeBaseScheduleTable","1.3.6.1.4.1.1206.4.2.6.3.3.2",table,"TABLE","SEQUENCE OF TimeBaseScheduleEntry","not-accessible","","SEQUENCE OF TimeBaseScheduleEntry",""
"timeBaseScheduleNumber","1.3.6.1.4.1.1206.4.2.6.3.3.2.1.1",column,"INTEGER","1 .. 65535 [INDEX]","read-only","","INTEGER (1..65535 )","timeBaseScheduleTable"
"timeBaseScheduleMonth","1.3.6.1.4.1.1206.4.2.6.3.3.2.1.2",column,"INTEGER","0 .. 65535","read-write","","INTEGER (0..65535)","timeBaseScheduleTable"
"timeBaseScheduleDay","1.3.6.1.4.1.1206.4.2.6.3.3.2.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","timeBaseScheduleTable"
"timeBaseScheduleDate","1.3.6.1.4.1.1206.4.2.6.3.3.2.1.4",column,"INTEGER","0 .. 4294967295","read-write","","INTEGER (0..4294967295)","timeBaseScheduleTable"
"timeBaseScheduleDayPlan","1.3.6.1.4.1.1206.4.2.6.3.3.2.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","timeBaseScheduleTable"
"timeBaseScheduleEntry","1.3.6.1.4.1.1206.4.2.6.3.3.2.1",entry,"ROW ENTRY","INDEX { timeBaseScheduleNumber }","not-accessible","","TimeBaseScheduleEntry",""
"maxDayPlans","1.3.6.1.4.1.1206.4.2.6.3.3.3",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"maxDayPlanEvents","1.3.6.1.4.1.1206.4.2.6.3.3.4",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"timeBaseDayPlanTable","1.3.6.1.4.1.1206.4.2.6.3.3.5",table,"TABLE","SEQUENCE OF TimeBaseDayPlanEntry","not-accessible","","SEQUENCE OF TimeBaseDayPlanEntry",""
"dayPlanNumber","1.3.6.1.4.1.1206.4.2.6.3.3.5.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","timeBaseDayPlanTable"
"dayPlanEventNumber","1.3.6.1.4.1.1206.4.2.6.3.3.5.1.2",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","timeBaseDayPlanTable"
"dayPlanHour","1.3.6.1.4.1.1206.4.2.6.3.3.5.1.3",column,"INTEGER","0 .. 23","read-write","0","INTEGER (0..23)","timeBaseDayPlanTable"
"dayPlanMinute","1.3.6.1.4.1.1206.4.2.6.3.3.5.1.4",column,"INTEGER","0 .. 59","read-write","0","INTEGER (0..59)","timeBaseDayPlanTable"
"dayPlanActionNumberOID","1.3.6.1.4.1.1206.4.2.6.3.3.5.1.5",column,"OBJECT IDENTIFIER","(any valid OID)","read-write","null","OBJECT IDENTIFIER","timeBaseDayPlanTable"
"timeBaseDayPlanEntry","1.3.6.1.4.1.1206.4.2.6.3.3.5.1",entry,"ROW ENTRY","INDEX { dayPlanNumber, dayPlanEventNumber }","not-accessible","","TimeBaseDayPlanEntry",""
"dayPlanStatus","1.3.6.1.4.1.1206.4.2.6.3.3.6",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"timeBaseScheduleTable-status","1.3.6.1.4.1.1206.4.2.6.3.3.7",scalar,"INTEGER","0 .. 65535","read-only","","INTEGER (0..65535)",""
"controllerStandardTimeZone","1.3.6.1.4.1.1206.4.2.6.3.5",scalar,"INTEGER","-43200 .. 43200","read-write","0","INTEGER (-43200..43200)",""
"controllerLocalTime","1.3.6.1.4.1.1206.4.2.6.3.6",scalar,"Counter32","0 .. 4294967295","read-only","","Counter",""
"auxIO","1.3.6.1.4.1.1206.4.2.6.7",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"auxIOTableNumDigitalPorts","1.3.6.1.4.1.1206.4.2.6.7.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"auxIOTableNumAnalogPorts","1.3.6.1.4.1.1206.4.2.6.7.2",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"auxIOTable","1.3.6.1.4.1.1206.4.2.6.7.3",table,"TABLE","SEQUENCE OF AuxIOEntry","not-accessible","","SEQUENCE OF AuxIOEntry",""
"auxIOPortType","1.3.6.1.4.1.1206.4.2.6.7.3.1.1",column,"INTEGER (enum)","1 .. 3  (other=1, analog=2, digital=3) [INDEX]","read-only","","INTEGER{ other (1), analog (2), digital (3) }","auxIOTable"
"auxIOPortNumber","1.3.6.1.4.1.1206.4.2.6.7.3.1.2",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","auxIOTable"
"auxIOPortDescription","1.3.6.1.4.1.1206.4.2.6.7.3.1.3",column,"DisplayString","length 0 .. 255 bytes","read-write","","DisplayString (SIZE (0..255))","auxIOTable"
"auxIOPortResolution","1.3.6.1.4.1.1206.4.2.6.7.3.1.4",column,"INTEGER","1 .. 32","read-only","","INTEGER (1..32)","auxIOTable"
"auxIOPortValue","1.3.6.1.4.1.1206.4.2.6.7.3.1.5",column,"INTEGER","0 .. 4294967295","read-write","","INTEGER (0..4294967295)","auxIOTable"
"auxIOPortDirection","1.3.6.1.4.1.1206.4.2.6.7.3.1.6",column,"INTEGER (enum)","1 .. 3  (output=1, input=2, bidirectional=3)","read-only","","INTEGER { output (1), input (2), bidirectional (3)}","auxIOTable"
"auxIOPortLastCommandedState","1.3.6.1.4.1.1206.4.2.6.7.3.1.7",column,"INTEGER","0 .. 4294967295","read-only","","INTEGER (0..4294967295)","auxIOTable"
"auxIOEntry","1.3.6.1.4.1.1206.4.2.6.7.3.1",entry,"ROW ENTRY","INDEX { auxIOPortType, auxIOPortNumber }","not-accessible","","AuxIOEntry",""